date,homeTeam,visitingTeam,scoreDifference,gamesPlayedInSeason
19900409,Boston Red Sox,Detroit Tigers,3,1,1
19900409,Chicago White Sox,Milwaukee Brewers,1,1,1
19900409,Kansas City Royals,Baltimore Orioles,-1,1,1
19900409,Oakland Athletics,Minnesota Twins,5,1,1
19900409,Texas Rangers,Toronto Blue Jays,2,1,1
19900409,Houston Astros,Cincinnati Reds,-4,1,1
19900409,Los Angeles Dodgers,San Diego Padres,2,1,1
19900409,New York Mets,Pittsburgh Pirates,-9,1,1
19900410,Boston Red Sox,Detroit Tigers,2,2,2
19900410,Milwaukee Brewers,Chicago White Sox,-2,2,2
19900410,Oakland Athletics,Minnesota Twins,2,2,2
19900410,Toronto Blue Jays,Texas Rangers,1,2,2
19900410,Chicago Cubs,Philadelphia Phillies,1,1,1
19900410,Houston Astros,Cincinnati Reds,-1,2,2
19900410,San Diego Padres,Los Angeles Dodgers,-1,2,2
19900411,Boston Red Sox,Detroit Tigers,1,3,3
19900411,Kansas City Royals,Baltimore Orioles,1,2,2
19900411,Oakland Athletics,Minnesota Twins,-3,3,3
19900411,Toronto Blue Jays,Texas Rangers,-6,3,3
19900411,Atlanta Braves,San Francisco Giants,-8,1,1
19900411,Atlanta Braves,San Francisco Giants,1,2,2
19900411,Houston Astros,Cincinnati Reds,-5,3,3
19900411,New York Mets,Pittsburgh Pirates,3,2,2
19900411,San Diego Padres,Los Angeles Dodgers,2,3,3
19900412,Detroit Tigers,Boston Red Sox,4,4,4
19900412,New York Yankees,Cleveland Indians,2,1,1
19900412,Toronto Blue Jays,Texas Rangers,6,4,4
19900412,Atlanta Braves,San Francisco Giants,-9,3,3
19900412,Chicago Cubs,Philadelphia Phillies,-1,2,2
19900412,Chicago Cubs,Philadelphia Phillies,3,3,3
19900412,New York Mets,Pittsburgh Pirates,-4,3,3
19900412,San Diego Padres,Los Angeles Dodgers,2,4,4
19900413,Boston Red Sox,Milwaukee Brewers,-4,5,3
19900413,Chicago White Sox,Cleveland Indians,-4,3,2
19900413,Detroit Tigers,Baltimore Orioles,4,5,3
19900413,Kansas City Royals,Toronto Blue Jays,-2,3,5
19900413,New York Yankees,Texas Rangers,3,2,5
19900413,Seattle Mariners,Oakland Athletics,-8,4,4
19900413,Atlanta Braves,Cincinnati Reds,-3,4,4
19900413,Houston Astros,Los Angeles Dodgers,-5,4,5
19900413,Philadelphia Phillies,St. Louis Cardinals,-11,4,4
19900413,Pittsburgh Pirates,Chicago Cubs,-2,4,4
19900413,San Francisco Giants,San Diego Padres,-5,4,5
19900414,Boston Red Sox,Milwaukee Brewers,1,6,4
19900414,Chicago White Sox,Cleveland Indians,5,4,3
19900414,Detroit Tigers,Baltimore Orioles,-3,6,4
19900414,Kansas City Royals,Toronto Blue Jays,2,4,6
19900414,New York Yankees,Texas Rangers,-4,3,6
19900414,Seattle Mariners,Oakland Athletics,-3,5,5
19900414,Houston Astros,Los Angeles Dodgers,4,5,6
19900414,Philadelphia Phillies,St. Louis Cardinals,4,5,5
19900414,Pittsburgh Pirates,Chicago Cubs,-3,5,5
19900414,San Francisco Giants,San Diego Padres,-2,5,6
19900415,Chicago White Sox,Cleveland Indians,3,5,4
19900415,Detroit Tigers,Baltimore Orioles,2,7,5
19900415,Kansas City Royals,Toronto Blue Jays,-1,5,7
19900415,New York Yankees,Texas Rangers,2,4,7
19900415,Seattle Mariners,Oakland Athletics,-3,6,6
19900415,Atlanta Braves,Cincinnati Reds,-7,5,5
19900415,Houston Astros,Los Angeles Dodgers,-1,6,7
19900415,Philadelphia Phillies,St. Louis Cardinals,4,6,6
19900415,Pittsburgh Pirates,Chicago Cubs,1,6,6
19900415,San Francisco Giants,San Diego Padres,-1,6,7
19900416,Boston Red Sox,Milwaukee Brewers,-18,7,5
19900416,Kansas City Royals,Cleveland Indians,-3,6,5
19900416,Seattle Mariners,Minnesota Twins,3,7,8
19900416,Toronto Blue Jays,Baltimore Orioles,2,8,6
19900416,Atlanta Braves,Cincinnati Reds,-2,6,6
19900416,Chicago Cubs,New York Mets,-9,7,7
19900416,Los Angeles Dodgers,San Francisco Giants,-2,8,7
19900416,Pittsburgh Pirates,St. Louis Cardinals,-2,7,7
19900417,Chicago White Sox,Boston Red Sox,1,6,8
19900417,Detroit Tigers,New York Yankees,-3,8,5
19900417,Kansas City Royals,Cleveland Indians,2,7,6
19900417,Seattle Mariners,Minnesota Twins,-1,8,9
19900417,Texas Rangers,Milwaukee Brewers,4,8,6
19900417,Toronto Blue Jays,Baltimore Orioles,6,9,7
19900417,Cincinnati Reds,San Diego Padres,1,7,8
19900417,Houston Astros,Atlanta Braves,2,7,7
19900417,New York Mets,Chicago Cubs,-2,8,8
19900417,Pittsburgh Pirates,St. Louis Cardinals,5,8,8
19900417,San Francisco Giants,Los Angeles Dodgers,-5,8,9
19900418,Chicago White Sox,Boston Red Sox,-2,7,9
19900418,Detroit Tigers,New York Yankees,4,9,6
19900418,Kansas City Royals,Cleveland Indians,7,8,7
