PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Albert A Belle L,CWS,163,609,113,200,48,2,49,152,81,84,6,4,.328,.399,.655,1.055
Vinny V Castilla,COL,162,645,108,206,28,4,46,144,40,89,5,9,.319,.362,.589,.951
Rafael R Palmeiro,BAL,162,619,98,183,36,1,43,121,79,91,11,7,.296,.379,.565,.945
Neifi N Perez S,COL,162,647,80,177,25,9,9,59,38,70,5,6,.274,.313,.382,.695
B. J. B Surhoff L,BAL,162,573,79,160,34,1,22,92,49,81,9,7,.279,.332,.457,.789
Dante D Bichette L,COL,161,662,97,219,48,2,22,122,28,76,14,4,.331,.357,.509,.866
Jeromy J Burnitz R,MIL,161,609,92,160,28,1,38,125,70,158,7,4,.263,.339,.499,.838
Johnny J Damon C,KC,161,642,104,178,30,10,18,66,58,84,26,12,.277,.339,.439,.779
Ken K Griffey C,SEA,161,633,120,180,33,3,56,146,76,121,20,5,.284,.365,.611,.977
Cal C Ripken,BAL,161,601,65,163,27,1,14,61,51,68,0,2,.271,.331,.389,.721
Alex A Rodriguez S,SEA,161,686,123,213,35,5,42,124,45,121,46,13,.310,.360,.560,.920
Robin R Ventura,CWS,161,590,84,155,31,4,21,91,79,111,1,1,.263,.349,.436,.785
Craig C Biggio,HOU,160,646,123,210,51,2,20,88,64,113,50,8,.325,.403,.503,.906
Chipper C Jones,ATL,160,601,123,188,29,5,34,107,96,93,16,6,.313,.404,.547,.951
John J Olerud,NYM,160,557,91,197,36,4,22,93,96,73,2,2,.354,.447,.551,.998
Scott S Rolen,PHI,160,601,120,174,45,4,31,110,93,141,14,7,.290,.391,.532,.923
Frank F Thomas D,CWS,160,585,109,155,35,2,29,109,110,93,7,0,.265,.381,.480,.861
Moises M Alou L,HOU,159,584,104,182,34,5,38,124,84,87,11,3,.312,.399,.582,.981
Steve S Finley C,SD,159,619,92,154,40,6,14,67,45,103,12,3,.249,.301,.401,.702
Vladimir V Guerrero R,MON,159,623,108,202,37,7,38,109,42,95,11,9,.324,.371,.589,.960
Andruw A Jones C,ATL,159,582,89,158,33,8,31,90,40,129,27,4,.271,.321,.515,.836
Brian B Mc Rae C,NYM,159,552,79,146,36,5,21,79,80,90,20,11,.264,.360,.462,.822
Sammy S Sosa R,CHC,159,643,134,198,20,0,66,158,73,171,18,9,.308,.377,.647,1.024
Fernando F Vina,MIL,159,637,101,198,39,7,7,45,54,46,22,16,.311,.386,.427,.813
Tony T Womack,PIT,159,655,85,185,26,7,3,45,38,94,58,8,.282,.319,.357,.677
Kevin K Young,PIT,159,592,88,160,40,2,27,108,44,127,15,7,.270,.328,.481,.809
Ray R Durham,CWS,158,635,126,181,35,8,19,67,73,105,36,9,.285,.363,.455,.818
Doug D Glanville C,PHI,158,678,106,189,28,7,8,49,42,89,23,6,.279,.325,.376,.701
Alex A Gonzalez S,TOR,158,568,70,136,28,1,13,51,28,121,21,6,.239,.281,.361,.642
Mark M Grace,CHC,158,595,92,184,39,3,17,89,93,56,4,7,.309,.401,.471,.872
Shawn S Green R,TOR,158,630,106,175,33,4,35,100,50,142,35,12,.278,.334,.510,.844
Jose J Offerman,KC,158,607,102,191,28,13,7,66,89,96,45,12,.315,.403,.438,.841
Greg G Vaughn L,SD,158,573,112,156,28,4,50,119,79,121,11,4,.272,.363,.597,.960
Todd T Zeile,TEX,158,572,85,155,32,3,19,94,69,90,4,4,.271,.350,.437,.787
Bret B Boone,CIN,157,583,76,155,38,1,24,95,48,104,6,4,.266,.324,.458,.782
Tony T Clark,DET,157,602,84,175,37,0,34,103,63,128,3,3,.291,.358,.522,.880
Gary G Disarcina S,ANA,157,551,73,158,39,3,3,56,21,51,11,7,.287,.321,.385,.706
Bobby B Higginson R,DET,157,612,92,174,37,4,25,85,63,101,3,3,.284,.355,.480,.835
Garret G Anderson R,ANA,156,622,62,183,41,7,15,79,29,80,8,3,.294,.325,.455,.780
Derek D Bell R,HOU,156,630,111,198,41,2,22,108,51,126,13,3,.314,.364,.490,.854
Barry B Bonds L,SF,156,552,120,167,44,7,37,122,130,92,28,12,.303,.438,.609,1.047
Jeff J Cirillo,MIL,156,604,97,194,31,1,14,68,79,88,10,4,.321,.402,.445,.847
Mark M Grudzielanek S,LA,156,589,62,160,21,1,10,62,26,73,18,5,.272,.311,.362,.673
Troy T O' Leary L,BOS,156,611,95,165,36,8,23,83,36,108,2,2,.270,.314,.468,.782
Jay J Bell S,ARI,155,549,79,138,29,5,20,67,81,129,3,5,.251,.353,.432,.785
Joey J Cora,CLE,155,602,111,166,27,6,6,32,73,59,15,6,.276,.357,.370,.728
Rusty R Greer L,TEX,155,598,107,183,31,5,16,108,80,93,2,4,.306,.386,.455,.841
Ben B Grieve R,OAK,155,583,94,168,41,2,18,89,85,123,2,2,.288,.386,.458,.844
Darren D Lewis C,BOS,155,585,95,157,25,3,8,63,70,94,29,12,.268,.352,.362,.714
Quinton Q Mc Cracken C,TB,155,614,77,179,38,7,7,59,41,107,19,10,.292,.335,.410,.745
Mark M Mc Gwire,STL,155,509,130,152,21,0,70,147,162,155,1,0,.299,.470,.752,1.222
Jim J Edmonds C,ANA,154,599,115,184,42,1,25,91,57,114,7,5,.307,.368,.506,.874
Juan J Gonzalez R,TEX,154,606,110,193,50,2,45,157,46,126,2,1,.318,.366,.630,.997
Luis L Gonzalez,DET,154,547,84,146,35,5,23,71,57,62,12,7,.267,.340,.475,.816
Tom T Goodwin C,TEX,154,520,102,151,13,3,2,33,73,90,38,20,.290,.378,.338,.716
Mark M Kotsay R,FLA,154,578,72,161,25,7,11,68,34,61,10,5,.279,.318,.403,.721
Ray R Lankford C,STL,154,533,94,156,37,1,31,105,86,151,26,5,.293,.391,.540,.932
Kenny K Lofton C,CLE,154,600,101,169,31,6,12,64,87,80,54,10,.282,.371,.413,.785
Edgar E Martinez D,SEA,154,556,86,179,46,1,29,102,106,96,1,1,.322,.429,.565,.993
Mickey M Morandini,CHC,154,582,93,172,20,4,8,53,72,84,13,1,.296,.380,.385,.765
Mo M Vaughn,BOS,154,609,107,205,31,2,40,115,61,144,0,0,.337,.402,.591,.994
Rico R Brogna,PHI,153,565,77,150,36,3,20,104,49,125,7,7,.265,.319,.446,.765
Damion D Easley,DET,153,594,84,161,38,2,27,100,39,112,15,5,.271,.332,.478,.810
Cliff C Floyd L,FLA,153,588,85,166,45,3,22,90,47,112,27,14,.282,.337,.481,.818
Andres A Galarraga,ATL,153,555,103,169,27,1,44,121,63,146,7,6,.305,.397,.595,.991
Jason J Giambi,OAK,153,562,92,166,28,0,27,110,81,102,2,2,.295,.384,.489,.873
Jose J Guillen R,PIT,153,573,60,153,38,2,14,84,21,100,3,5,.267,.298,.414,.712
