TEAM,LEAGUE,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG
New York Yankees,AL,162,5651,930,1608,327,21,210,902,649,1053,139,35,.285,.363,.461,.824
Toronto Blue Jays,AL,162,5596,809,1591,348,27,199,778,514,906,65,33,.284,.348,.463,.811
Chicago White Sox,AL,162,5657,868,1586,291,20,236,839,502,1056,93,48,.280,.342,.464,.806
Cleveland Indians,AL,162,5619,870,1576,351,27,196,839,556,1204,55,23,.280,.349,.457,.806
Philadelphia Phillies,NL,162,5687,865,1518,294,41,216,823,626,1203,92,25,.267,.347,.447,.794
Atlanta Braves,NL,162,5583,849,1510,312,26,222,818,526,1169,52,35,.270,.337,.455,.792
Boston Red Sox,AL,162,5619,820,1510,327,16,192,777,672,1056,51,23,.269,.351,.435,.786
Texas Rangers,AL,162,5659,835,1571,357,23,183,799,505,1061,53,24,.278,.338,.446,.784
Los Angeles Dodgers,NL,162,5628,820,1552,307,58,153,787,601,959,128,49,.276,.348,.432,.781
New York Mets,NL,162,5558,834,1469,323,41,200,800,547,1071,146,35,.264,.334,.445,.780
Detroit Tigers,AL,162,5642,822,1548,294,40,203,785,430,1133,60,40,.274,.329,.449,.777
Colorado Rockies,NL,162,5562,813,1504,325,54,157,761,561,1108,85,50,.270,.341,.433,.774
Minnesota Twins,AL,162,5602,801,1608,275,34,143,754,490,872,101,42,.287,.347,.425,.772
St. Louis Cardinals,NL,161,5522,781,1484,292,27,184,745,531,922,59,32,.269,.337,.431,.769
Cincinnati Reds,NL,162,5515,749,1419,291,12,217,718,614,1192,124,33,.257,.336,.432,.768
Florida Marlins,NL,162,5502,758,1454,309,42,182,713,497,1249,110,58,.264,.331,.435,.766
Baltimore Orioles,AL,162,5610,768,1556,288,20,164,727,474,878,121,32,.277,.339,.424,.763
Los Angeles Angels,AL,162,5609,766,1539,309,29,159,737,486,914,148,57,.274,.334,.425,.759
Washington Nationals,NL,162,5495,746,1437,322,22,164,695,594,1156,123,62,.262,.338,.418,.756
Arizona Diamondbacks,NL,162,5645,773,1506,331,38,160,743,504,965,76,30,.267,.331,.424,.755
Oakland Athletics,AL,162,5500,771,1429,266,22,175,735,650,976,61,20,.260,.340,.412,.752
Seattle Mariners,AL,162,5670,756,1540,266,42,172,703,404,974,106,37,.272,.325,.424,.749
San Diego Padres,NL,162,5576,731,1465,298,38,161,698,564,1104,123,31,.263,.332,.416,.749
Milwaukee Brewers,NL,162,5433,730,1400,301,20,180,695,502,1233,71,37,.258,.327,.420,.747
San Francisco Giants,NL,161,5472,746,1418,297,52,163,711,494,891,58,25,.259,.324,.422,.746
Kansas City Royals,AL,162,5589,757,1515,335,37,124,718,474,1040,65,34,.271,.332,.411,.743
Chicago Cubs,NL,162,5587,716,1496,271,46,166,677,395,928,121,49,.268,.319,.422,.741
Houston Astros,NL,162,5521,735,1407,275,27,174,708,585,1076,79,36,.255,.332,.409,.741
Tampa Bay Devil Rays,AL,162,5474,689,1395,267,33,190,650,441,1106,134,52,.255,.314,.420,.733
Pittsburgh Pirates,NL,162,5558,691,1462,286,17,141,656,459,1200,68,23,.263,.327,.397,.723
